ภาค,จังหวัด,ประเภทคดีอาชญากรรม,ประเภทความผิด,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559,,
ภาคกลาง,สิงห์บุรี,จับกุม,ทำให้เสียทรัพย์,19,14,10,6,16,8,7,2,6,6,,
ภาคกลาง,ชัยนาท,รับแจ้ง,รวม,315,303,200,294,150,172,217,179,175,109,,
ภาคกลาง,ชัยนาท,รับแจ้ง,ลักทรัพย์,257,253,160,238,125,144,182,154,143,95,,
ภาคกลาง,ชัยนาท,รับแจ้ง,วิ่งราวทรัพย์,10,12,4,14,2,6,5,9,6,2,,
ภาคกลาง,ชัยนาท,รับแจ้ง,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคกลาง,ชัยนาท,รับแจ้ง,กรรโชกทรัพย์,0,0,0,1,1,1,1,1,2,0,,
ภาคกลาง,ชัยนาท,รับแจ้ง,ชิงทรัพย์ (รวม),3,0,5,6,6,0,3,7,3,1,,
ภาคกลาง,ชัยนาท,รับแจ้ง,บาดเจ็บ,1,0,1,3,0,0,0,6,1,0,,
ภาคกลาง,ชัยนาท,รับแจ้ง,ไม่บาดเจ็บ,2,0,4,3,6,0,3,1,2,1,,
ภาคกลาง,ชัยนาท,รับแจ้ง,ปล้นทรัพย์,1,5,1,2,0,3,1,0,1,0,,
ภาคกลาง,ชัยนาท,รับแจ้ง,รับของโจร,1,3,4,3,1,1,1,1,6,2,,
ภาคกลาง,ชัยนาท,รับแจ้ง,ทำให้เสียทรัพย์,43,30,26,30,15,17,24,7,14,9,,
ภาคกลาง,ชัยนาท,จับกุม,รวม,118,145,105,143,74,99,91,65,76,70,,
ภาคกลาง,ชัยนาท,จับกุม,ลักทรัพย์,86,109,80,108,55,80,70,53,58,58,,
ภาคกลาง,ชัยนาท,จับกุม,วิ่งราวทรัพย์,7,8,3,7,1,3,4,4,1,2,,
