ภาค,จังหวัด,ระดับการศึกษา,สายการศึกษา,รวม
ภาคกลาง,ฉะเชิงเทรา,รวม,สายวิชาการศึกษาระดับมหาวิทยาลัย,698053.5
ภาคกลาง,ฉะเชิงเทรา,ไม่ได้เรียน,สายวิชาการศึกษาระดับมหาวิทยาลัย,12640.2575
ภาคกลาง,ฉะเชิงเทรา,ก่อนประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,113808.49
ภาคกลาง,ฉะเชิงเทรา,ระดับประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,161536.405
ภาคกลาง,ฉะเชิงเทรา,ระดับมัธยมศึกษาตอนต้น,สายวิชาการศึกษาระดับมหาวิทยาลัย,167140.5475
ภาคกลาง,ฉะเชิงเทรา,ระดับมัธยมศึกษาตอนปลาย,สายสามัญ,113648.8425
ภาคกลาง,ฉะเชิงเทรา,ระดับมัธยมศึกษาตอนปลาย,สายอาชีวศึกษา,22377.55
ภาคกลาง,ฉะเชิงเทรา,ระดับมัธยมศึกษาตอนปลาย,สายวิชาการศึกษา,0
ภาคกลาง,ฉะเชิงเทรา,ระดับอุดมศึกษา,สายวิชาการ,67380.355
ภาคกลาง,ฉะเชิงเทรา,ระดับอุดมศึกษา,สายวิชาชีพ,24319.42
ภาคกลาง,ฉะเชิงเทรา,ระดับอุดมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,14511.69
ภาคกลาง,ฉะเชิงเทรา,การศึกษาอื่น ๆ,สายวิชาการศึกษาระดับมหาวิทยาลัย,0
ภาคกลาง,ฉะเชิงเทรา,ไม่ทราบ,สายวิชาการศึกษาระดับมหาวิทยาลัย,689.9425
ภาคกลาง,ปราจีนบุรี,รวม,สายวิชาการศึกษาระดับมหาวิทยาลัย,535533.25
ภาคกลาง,ปราจีนบุรี,ไม่ได้เรียน,สายวิชาการศึกษาระดับมหาวิทยาลัย,11424.675
ภาคกลาง,ปราจีนบุรี,ก่อนประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,120873.37
ภาคกลาง,ปราจีนบุรี,ระดับประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,86414.515
ภาคกลาง,ปราจีนบุรี,ระดับมัธยมศึกษาตอนต้น,สายวิชาการศึกษาระดับมหาวิทยาลัย,116345.465
ภาคกลาง,ปราจีนบุรี,ระดับมัธยมศึกษาตอนปลาย,สายสามัญ,89087.145
ภาคกลาง,ปราจีนบุรี,ระดับมัธยมศึกษาตอนปลาย,สายอาชีวศึกษา,19746.3975
ภาคกลาง,ปราจีนบุรี,ระดับมัธยมศึกษาตอนปลาย,สายวิชาการศึกษา,0
ภาคกลาง,ปราจีนบุรี,ระดับอุดมศึกษา,สายวิชาการ,42115.725
